City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,talnakh,69.4865,88.3972,258.82,97,99,1.49,RU,1675632813
112,baker city,44.7749,-117.8344,277.37,85,75,3.09,US,1675632659
113,sinnamary,5.3833,-52.95,297.92,87,100,6.38,GF,1675632534
114,muzhi,65.3667,64.6667,254.42,98,62,1.4,RU,1675632814
115,fortuna,40.5982,-124.1573,283.34,89,100,1.54,US,1675632815
116,faanui,-16.4833,-151.75,300.58,74,16,6.38,PF,1675632753
117,pevek,69.7008,170.3133,235.26,98,82,1.64,RU,1675632815
118,saint-philippe,-21.3585,55.7679,298.92,87,100,5.09,RE,1675632816
119,east london,-33.0153,27.9116,296.97,87,31,5.0,ZA,1675632817
120,portland,45.5234,-122.6762,283.7,86,100,5.36,US,1675632741
121,kloulklubed,7.0419,134.2556,299.43,79,99,8.5,PW,1675632628
122,meulaboh,4.1363,96.1285,296.88,88,100,2.19,ID,1675632818
123,kaka,37.3482,59.6143,279.07,78,31,2.76,TM,1675632819
124,airai,-8.9266,125.4092,289.1,90,99,0.73,TL,1675632819
125,touros,-5.1989,-35.4608,299.88,75,92,4.62,BR,1675632820
126,bilma,18.6853,12.9164,292.94,13,4,8.32,NE,1675632820
127,carnarvon,-24.8667,113.6333,297.62,75,2,6.7,AU,1675632821
128,olafsvik,64.8945,-23.7142,277.87,81,100,20.02,IS,1675632821
129,upernavik,72.7868,-56.1549,248.83,92,100,2.33,GL,1675632822
130,hithadhoo,-0.6,73.0833,300.09,71,82,4.36,MV,1675632822
131,ilulissat,69.2167,-51.1,256.16,78,100,6.69,GL,1675632823
132,kristiinankaupunki,62.2743,21.376,269.32,84,13,5.16,FI,1675632563
133,lata,40.1629,-8.3327,279.92,75,0,1.99,PT,1675632823
134,naze,28.3667,129.4833,290.66,82,100,3.79,JP,1675632593
135,saskylakh,71.9167,114.0833,231.64,100,95,1.84,RU,1675632824
136,torbay,47.6666,-52.7314,268.92,79,100,7.2,CA,1675632824
137,tiksi,71.6872,128.8694,240.5,100,100,1.5,RU,1675632665
